"","unique_event_ID","same_whale_ID","ship","observer_location","count","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","wind","ship_whale_bearing","ship_speed_scaled","count_factor"
"24","2008-05-28-N-014","2008-05-28-N-014","Statendam","Starboard",1,19.36962053,796.4374617,"DF-Dive-fluke-up","excellent","calm",418194.4837,6516900.676,"light",-46.0957431,1.42561174748545,"1"
"25","2008-05-28-N-016","2008-05-28-N-016","Statendam","Starboard",1,19.13452597,2731.262249,"DF-Dive-fluke-up","excellent","calm",405259.3581,6527989.985,"light",20.96476039,1.35499352473224,"1"
"26","2008-05-28-N-032","2008-05-28-N-032","Statendam","Starboard",1,2.8168267,3658.061081,"DF-Dive-fluke-up","excellent","1'",391555.0627,6531288.527,"light",-100.5923234,-3.54655299284282,"1"
"27","2008-05-28-N-041","2008-05-28-N-041","Statendam","Starboard",1,17.33185251,1632.742393,"BL-Blowing","excellent","1'",418104.569,6517227.35,"light",7.727629036,0.813502492572286,"1"
"28","2008-05-31-N-037","2008-05-31-N-037","Coral Princess","Starboard",1,19.03848506,4557.558975,"DF-Dive-fluke-up","excellent","1'",440608.9022,6488513.784,"moderate",-30.93608062,1.32614454423774,"1"
"29","2008-06-01-N-007","2008-06-01-N-007","Tahitian Princess","Starboard",1,14.50244247,1816.423431,"DF-Dive-fluke-up","excellent","calm",437831.5723,6488840.537,"light",-6.498640855,-0.0364019393503582,"1"
"30","2008-06-01-N-041","2008-06-01-N-041","Tahitian Princess","Starboard",1,12.75433358,903.2391857,"DF-Dive-fluke-up","excellent","calm",438475.7392,6489731.879,"moderate",-30.98465641,-0.561502745557427,"1"
"31","2008-06-04-N-028","2008-06-04-N-028","Statendam","Starboard",1,16.4102184,278.3837715,"BL-Blowing","good","1'",431110.4901,6504868.654,"moderate",101.9479534,0.536660004694467,"1"
"32","2008-06-04-N-032","2008-06-04-N-032","Statendam","Starboard",1,15.08801895,626.3897209,"BL-Blowing","good","1'",438674.035,6491833.404,"moderate",-16.22728883,0.139494815996443,"1"
"33","2008-06-04-N-035","2008-06-04-N-035","Statendam","Starboard",1,14.77514115,908.0480913,"DF-Dive-fluke-up","good","1'",437479.0138,6487554.077,"moderate",54.76872149,0.0455118919554268,"1"
"34","2008-06-06-N-002","2008-06-06-N-002","Volendam","Starboard",1,12.97898882,2552.209515,"BL-Blowing","excellent","calm",439199.9106,6478909.577,"light",-15.68966812,-0.494020308783913,"1"
"35","2008-06-06-N-016","2008-06-06-N-016","Volendam","Starboard",1,19.08287313,2279.845001,"BL-Blowing","excellent","1'",434623.4517,6505266.296,"moderate",26.55251255,1.33947793066253,"1"
"36","2008-06-06-N-017","2008-06-06-N-017","Volendam","Starboard",1,19.23894394,772.4371096,"SA-Surface-active","excellent","1'",434513.1199,6504771.381,"moderate",48.40998251,1.38635882499652,"1"
"37","2008-06-06-N-037","2008-06-06-N-037","Volendam","Starboard",3,19.22676556,2736.134548,"BL-Blowing","excellent","calm",439002.1625,6496728.29,"light",15.15779005,1.38270065633616,"2-3"
"38","2008-06-06-N-045","2008-06-06-N-045","Volendam","Starboard",1,13.27319821,1371.118507,"BL-Blowing","excellent","calm",437074.7545,6484089.064,"light",73.05308933,-0.405645042937236,"1"
"39","2008-06-06-N-046","2008-06-06-N-046","Volendam","Starboard",1,12.74835,1272.001297,"SA-Surface-active","excellent","calm",438740.6718,6482692.908,"light",-12.43094031,-0.563300106522741,"1"
"40","2008-06-07-N-006","2008-06-07-N-006","Island Princess","Port",1,10.90885219,2729.230226,"DF-Dive-fluke-up","excellent","calm",439607.2647,6485191.213,"light",35.87262772,-1.11585251820182,"1"
"41","2008-06-07-N-009","2008-06-07-N-009","Island Princess","Port",1,13.46786087,2002.712272,"DF-Dive-fluke-up","excellent","calm",437163.4433,6487957.591,"moderate",-43.28952988,-0.3471718435335,"1"
"42","2008-06-07-N-010","2008-06-07-N-010","Island Princess","Port",1,13.95225718,3643.731523,"DF-Dive-fluke-up","excellent","calm",440748.1361,6490208.363,"moderate",36.64849342,-0.201667810941612,"1"
"43","2008-06-07-N-031","2008-06-07-N-031","Island Princess","Port",1,18.74616011,4557.488382,"BL-Blowing","excellent","1'",438757.1988,6496993.771,"light",-7.510605084,1.23833533063696,"1"
"44","2008-06-07-N-034","2008-06-07-N-034","Island Princess","Port",1,10.72075311,4557.893408,"DF-Dive-fluke-up","excellent","1'",439155.2087,6483641.278,"light",-11.76787575,-1.17235413496026,"1"
"45","2008-06-07-N-038","2008-06-07-N-038","Island Princess","Port",1,9.380479596,719.7191268,"DF-Dive-fluke-up","excellent","1'",437910.4693,6484677.029,"light",52.30374723,-1.57494845088951,"1"
"46","2008-06-09-N-032","2008-06-09-N-032","Sapphire Princess","Starboard",1,11.15226773,1352.880221,"BL-Blowing","good","1'",437022.0674,6486734.706,"moderate",53.41209236,-1.04273482111298,"1"
"47","2008-06-09-N-033","2008-06-09-N-033","Sapphire Princess","Starboard",1,12.14829165,2712.147653,"DF-Dive-fluke-up","good","1'",438964.3886,6483512.894,"moderate",-17.12498278,-0.743546957939578,"1"
"48","2008-06-11-K-002","2008-06-11-K-002","Statendam","Starboard",1,11.18956121,1488.605436,"BL-Blowing","excellent","1'",462562.6308,6458736.913,"light",-42.50304543,-1.03153252328915,"1"
"49","2008-06-11-K-003","2008-06-11-K-003","Statendam","Starboard",1,11.18329477,786.3331009,"BL-Blowing","excellent","1'",461667.6645,6460134.158,"light",-0.962726615,-1.03341485036549,"1"
"50","2008-06-11-K-005","2008-06-11-K-005","Statendam","Starboard",1,10.97758343,613.1909567,"BL-Blowing","excellent","1'",459258.2929,6461018.409,"light",-6.40553843,-1.0952068766505,"1"
"51","2008-06-11-K-008","2008-06-11-K-008","Statendam","Starboard",2,11.04822328,990.2977176,"DF-Dive-fluke-up","excellent","calm",453088.6592,6463937.747,"light",37.17536526,-1.07398792261535,"2-3"
"52","2008-06-11-K-009","2008-06-11-K-009","Statendam","Starboard",3,10.97487117,988.1180893,"BL-Blowing","excellent","calm",452743.5071,6464211.118,"light",52.1526113,-1.09602159129488,"2-3"
"53","2008-06-11-K-013","2008-06-11-K-013","Statendam","Starboard",3,9.810860094,380.5171046,"BL-Blowing","excellent","calm",451209.1124,6463498.204,"light",-67.41352743,-1.44566980711143,"2-3"
"54","2008-06-11-K-017","2008-06-11-K-017","Statendam","Starboard",1,7.659081622,968.809598,"DF-Dive-fluke-up","excellent","calm",441948.9053,6476327.714,"light",-57.01180852,-2.09202577320128,"1"
"55","2008-06-11-K-022","2008-06-11-K-022","Statendam","Starboard",1,13.31585803,1186.307214,"BL-Blowing","good","calm",438325.3628,6484935.263,"light",-3.83136062,-0.392830792061452,"1"
"56","2008-06-11-K-056","2008-06-11-K-056","Statendam","Starboard",1,19.23952368,991.102364,"BL-Blowing","excellent","1'",456995.6827,6460962.136,"light",41.77149984,1.38653296857712,"1"
"57","2008-06-11-K-057","2008-06-11-K-057","Statendam","Starboard",1,19.73070936,670.4397953,"DF-Dive-fluke-up","excellent","1'",465940.3305,6456823.433,"light",-19.3638089,1.53407640711279,"1"
"58","2008-06-11-K-063","2008-06-11-K-063","Statendam","Starboard",2,19.68344548,889.3787012,"DF-Dive-fluke-up","excellent","2'",511214.951,6391669.591,"light",31.53576082,1.51987917853369,"2-3"
"59","2008-06-11-K-070","2008-06-11-K-070","Statendam","Starboard",1,19.81635979,1999.269849,"BL-Blowing","excellent","1'",514726.6211,6348963.527,"moderate",78.92549452,1.55980427229456,"1"
"60","2008-06-11-N-006","2008-06-11-N-006","Island Princess","Port",1,10.60373274,3643.356773,"BL-Blowing","excellent","calm",439385.408,6486430.406,"light",27.79132911,-1.20750497194825,"1"
"61","2008-06-11-N-011","2008-06-11-N-011","Island Princess","Port",1,12.73883616,1142.831391,"BL-Blowing","excellent","calm",437182.5103,6488078.898,"light",-53.61073413,-0.566157894777639,"1"
"62","2008-06-15-K-003","2008-06-15-K-003","Ryndam","Starboard",1,13.86624033,151.563979,"BL-Blowing","excellent","1'",471025.9967,6454022.412,"light",93.72800225,-0.227505742171624,"1"
"63","2008-06-15-K-005","2008-06-15-K-005","Ryndam","Starboard",1,13.08209134,1012.232075,"BL-Blowing","excellent","1'",464766.8614,6457264.844,"light",-163.29581,-0.463050146293646,"1"
"64","2008-06-15-K-006","2008-06-15-K-006","Ryndam","Starboard",1,13.01703785,748.4608728,"DF-Dive-fluke-up","excellent","1'",464204.864,6457580.176,"light",-156.9564875,-0.48259105718369,"1"
"65","2008-06-15-K-007","2008-06-15-K-007","Ryndam","Starboard",1,13.59139431,2009.222625,"BL-Blowing","excellent","calm",459004.8457,6462621.516,"light",124.5350779,-0.310064596205485,"1"
"66","2008-06-15-K-009","2008-06-15-K-009","Ryndam","Starboard",1,13.90442249,1013.177926,"DF-Dive-fluke-up","excellent","calm",457595.5967,6461941.593,"light",158.4203256,-0.216036500688202,"1"
"67","2008-06-15-K-011","2008-06-15-K-011","Ryndam","Starboard",1,13.92611649,507.7722245,"BL-Blowing","excellent","calm",456466.6986,6462644.461,"light",118.0118805,-0.209520009092615,"1"
"68","2008-06-15-K-013","2008-06-15-K-013","Ryndam","Starboard",1,13.92867421,738.3314837,"DF-Dive-fluke-up","excellent","calm",455676.011,6461972.544,"light",-137.2457198,-0.208751715514489,"1"
"69","2008-06-15-K-014","2008-06-15-K-014","Ryndam","Starboard",1,13.91014705,1009.083125,"BL-Blowing","excellent","calm",455403.3046,6463473.243,"light",124.1878226,-0.214316944722108,"1"
"70","2008-06-15-K-016","2008-06-15-K-016","Ryndam","Starboard",1,13.95330599,413.3806979,"BL-Blowing","excellent","calm",454506.4439,6462876.962,"light",171.7965454,-0.201352767079237,"1"
"71","2008-06-15-K-017","2008-06-15-K-017","Ryndam","Starboard",1,13.94017729,179.3597124,"BL-Blowing","excellent","calm",453954.5878,6463073.228,"light",136.5343292,-0.20529639495842,"1"
"72","2008-06-15-K-028","2008-06-15-K-028","Ryndam","Starboard",1,12.57647491,1012.376789,"BL-Blowing","excellent","calm",440038.9059,6481198.776,"light",147.8942869,-0.614928325360935,"1"
"73","2008-06-15-K-051","2008-06-15-K-051","Ryndam","Starboard",1,14.31459466,1487.164839,"BL-Blowing","excellent","calm",438658.581,6487145.915,"light",-29.24616738,-0.0928280790716846,"1"
"74","2008-06-15-K-052","2008-06-15-K-052","Ryndam","Starboard",1,14.23584162,586.5178051,"BL-Blowing","excellent","calm",438184.6572,6487163.128,"light",-21.44384208,-0.116484091023696,"1"
"75","2008-06-15-K-053","2008-06-15-K-053","Ryndam","Starboard",1,13.20480321,1186.891823,"BL-Blowing","excellent","calm",438895.5672,6485266.712,"light",-25.97438621,-0.426189683975319,"1"
"76","2008-06-15-K-059","2008-06-15-K-059","Ryndam","Starboard",1,13.95144294,889.2741967,"BL-Blowing","excellent","calm",438501.1689,6482367.72,"light",30.8395287,-0.201912394149725,"1"
"77","2008-06-15-K-061","2008-06-15-K-061","Ryndam","Starboard",1,13.4052839,1987.781769,"BL-Blowing","excellent","1'",444775.2843,6471725.882,"moderate",-35.46907706,-0.365968851880615,"1"
"78","2008-06-15-K-063","2008-06-15-K-063","Ryndam","Starboard",1,13.51014479,605.1849739,"BL-Blowing","excellent","1'",444124.9368,6471524.184,"moderate",-122.1601364,-0.334470506329274,"1"
"79","2008-06-15-K-065","2008-06-15-K-065","Ryndam","Starboard",1,13.9565179,451.9608123,"BL-Blowing","excellent","1'",444051.0072,6470818.946,"moderate",-108.5488559,-0.200387966465207,"1"
"80","2008-06-15-K-067","2008-06-15-K-067","Ryndam","Starboard",3,14.79941558,591.1131185,"BL-Blowing","excellent","1'",443194.223,6469300.485,"moderate",42.42546503,0.0528034988090577,"2-3"
"81","2008-06-15-K-068","2008-06-15-K-068","Ryndam","Starboard",1,15.13868499,786.494808,"DF-Dive-fluke-up","excellent","1'",443839.3633,6468647.481,"moderate",-20.05564015,0.154713992904421,"1"
"82","2008-06-15-K-069","2008-06-15-K-069","Ryndam","Starboard",5,15.82192241,334.407404,"BL-Blowing","excellent","1'",443399.649,6467912.441,"moderate",26.44774146,0.359946356932292,"4+"
"83","2008-06-15-K-073","2008-06-15-K-073","Ryndam","Starboard",1,16.42336315,3487.258827,"BL-Blowing","excellent","1'",455342.0009,6461834.378,"moderate",12.96448243,0.540608453708069,"1"
"84","2008-06-15-K-074","2008-06-15-K-074","Ryndam","Starboard",1,16.35679592,992.511101,"BL-Blowing","excellent","1'",454477.0342,6463609.73,"moderate",-66.01041968,0.520612842256215,"1"
"85","2008-06-15-K-075","2008-06-15-K-075","Ryndam","Starboard",1,16.35628232,792.6897616,"BL-Blowing","excellent","1'",455021.7386,6463074.7,"moderate",-67.11735429,0.520458565954772,"1"
"86","2008-06-15-K-076","2008-06-15-K-076","Ryndam","Starboard",1,16.36470831,410.4817743,"BL-Blowing","excellent","1'",455816.4777,6461926.554,"moderate",-22.21105846,0.52298958342594,"1"
"87","2008-06-15-K-080","2008-06-15-K-080","Ryndam","Starboard",2,18.95493281,2986.452306,"BL-Blowing","excellent","1'",473820.8222,6451245.954,"moderate",-0.337675342,1.30104693499475,"2-3"
"88","2008-06-15-K-087","2008-06-15-K-087","Ryndam","Starboard",1,17.38918508,2004.331724,"DF-Dive-fluke-up","excellent","1'",519282.5853,6334560.135,"moderate",-117.3538953,0.830724176473752,"1"
"89","2008-06-15-N-002","2008-06-15-N-002","Tahitian Princess","Starboard",1,13.97527598,562.6224355,"BL-Blowing","excellent","calm",440909.7243,6479099.262,"light",83.60953075,-0.194753372998379,"1"
"90","2008-06-15-N-005","2008-06-15-N-005","Tahitian Princess","Starboard",3,15.5755034,301.4094131,"DF-Dive-fluke-up","excellent","calm",439019.6455,6483574.192,"light",59.52837964,0.285926470896618,"2-3"
"91","2008-06-16-N-003","2008-06-16-N-003","Diamond Princess","Starboard",1,17.61221798,1069.32255,"BL-Blowing","excellent","1'",437471.1955,6488143.819,"moderate",-34.22926795,0.897719291177791,"1"
"92","2008-06-16-N-032","2008-06-16-N-032","Diamond Princess","Starboard",1,13.72413573,1798.104732,"BL-Blowing","excellent","calm",437755.009,6493076.686,"light",14.56154325,-0.270191435524361,"1"
"93","2008-06-16-N-036","2008-06-16-N-036","Diamond Princess","Starboard",1,12.01833467,3625.859125,"BL-Blowing","excellent","calm",438974.241,6485237.188,"light",-13.43960502,-0.782583722388638,"1"
"94","2008-06-16-N-037","2008-06-16-N-037","Diamond Princess","Starboard",1,11.62852913,2714.711728,"BL-Blowing","excellent","calm",439818.649,6484063.052,"light",-31.63704944,-0.899674370739486,"1"
"95","2008-06-18-K-003","2008-06-18-K-003","Statendam","Port",1,13.13957749,2188.759701,"BL-Blowing","excellent","1'",463266.1312,6461074.552,"light",43.43670308,-0.44578232969285,"1"
"96","2008-06-18-K-004","2008-06-18-K-004","Statendam","Port",1,13.38752016,1591.35248,"DF-Dive-fluke-up","excellent","1'",455795.4722,6462956.114,"light",14.09810223,-0.371304763303875,"1"
"97","2008-06-18-K-005","2008-06-18-K-005","Statendam","Port",1,13.37497421,886.2581699,"BL-Blowing","excellent","1'",456088.7594,6462612.079,"light",11.84748736,-0.375073343452011,"1"
"98","2008-06-18-K-007","2008-06-18-K-007","Statendam","Port",1,13.19542974,991.5643763,"RE-Resting","excellent","1'",455118.3548,6462036.162,"light",-54.2930789,-0.429005307579841,"1"
"99","2008-06-18-K-008","2008-06-18-K-008","Statendam","Port",1,13.40658848,241.5879067,"BL-Blowing","excellent","1'",454791.366,6462923.372,"light",-28.88065483,-0.365576979261192,"1"
"100","2008-06-18-K-050","2008-06-18-K-050","Statendam","Port",1,12.75212682,254.1578069,"BL-Blowing","excellent","calm",438264.5611,6485526.403,"light",-16.45161121,-0.562165616996233,"1"
"101","2008-06-18-K-054","2008-06-18-K-054","Statendam","Port",1,10.68955878,533.2293054,"RE-Resting","excellent","1'",440341.5676,6478882.747,"light",54.39515144,-1.18172435664713,"1"
"102","2008-06-18-K-057","2008-06-18-K-057","Statendam","Port",8,14.55342725,2486.541445,"BL-Blowing","excellent","1'",444254.5764,6467007.553,"light",-2.168310609,-0.0210870186177658,"4+"
"103","2008-06-18-K-062","2008-06-18-K-062","Statendam","Port",1,13.45991654,1388.439645,"BL-Blowing","excellent","1'",446868.7318,6463748.814,"light",41.28005197,-0.349558178910912,"1"
"104","2008-06-18-K-063","2008-06-18-K-063","Statendam","Port",2,13.47235724,2488.144134,"BL-Blowing","excellent","1'",450159.0107,6464727.424,"light",-21.69954893,-0.345821213990049,"2-3"
"105","2008-06-18-K-066","2008-06-18-K-066","Statendam","Port",2,16.98415444,1487.365447,"BL-Blowing","excellent","1'",453795.8549,6463389.07,"light",-14.6641694,0.709060178985264,"2-3"
"106","2008-06-18-K-071","2008-06-18-K-071","Statendam","Port",1,17.38695557,1992.026768,"DF-Dive-fluke-up","excellent","1'",469587.417,6455759.101,"light",-46.25906381,0.83005447133974,"1"
"107","2008-06-18-K-072","2008-06-18-K-072","Statendam","Port",1,17.42236978,2490.205175,"SA-Surface-active","excellent","1'",471121.4268,6450747.022,"light",52.9274623,0.840692269893688,"1"
"108","2008-06-18-K-074","2008-06-18-K-074","Statendam","Port",1,17.56152352,2986.609432,"BL-Blowing","excellent","3'",482782.7131,6446620.88,"moderate",-3.479734951,0.882491577407495,"1"
"109","2008-06-18-K-076","2008-06-18-K-076","Statendam","Port",2,16.62063014,3986.768628,"DF-Dive-fluke-up","excellent","3'",506844.424,6419016.05,"moderate",23.08387536,0.599863947504591,"2-3"
"110","2008-06-18-K-077","2008-06-18-K-077","Statendam","Port",2,17.41991986,1986.315804,"BL-Blowing","excellent","2'",511114.1082,6390913.347,"moderate",11.24912571,0.839956357517461,"2-3"
"111","2008-06-18-K-079","2008-06-18-K-079","Statendam","Port",2,17.42289208,1987.974138,"DF-Dive-fluke-up","excellent","2'",512886.1677,6369129.145,"moderate",37.20499309,0.84084915952033,"2-3"
"112","2008-06-18-K-082","2008-06-18-K-082","Statendam","Port",1,17.77908763,388.9797015,"DF-Dive-fluke-up","excellent","1'",517522.7719,6338524.337,"moderate",47.04498568,0.947843964902488,"1"
"113","2008-06-18-N-013","2008-06-18-N-013","Coral Princess","Starboard",1,16.05703556,1081.921429,"BL-Blowing","excellent","1'",438349.4399,6493463.397,"light",-6.09025209,0.430570163790732,"1"
"114","2008-06-18-N-044","2008-06-18-N-044","Coral Princess","Starboard",1,13.63347984,633.2046826,"BL-Blowing","good","calm",437827.6705,6489250.339,"moderate",53.49122486,-0.297422851827278,"1"
"115","2008-06-22-N-008","2008-06-22-N-008","Ryndam","Starboard",1,14.03499267,1099.709736,"BL-Blowing","excellent","1'",439289.4864,6488673.906,"moderate",92.59276308,-0.176815541869898,"1"
"116","2008-06-23-K-005","2008-06-23-K-005","Amsterdam","Port",2,10.53449195,2984.881434,"BL-Blowing","excellent","1'",453991.221,6462579.184,"light",-2.890794984,-1.22830367325308,"2-3"
"117","2008-06-23-K-006","2008-06-23-K-006","Amsterdam","Port",2,10.62238203,343.168988,"BL-Blowing","excellent","1'",454916.1354,6462703.185,"moderate",36.258748,-1.20190305706171,"2-3"
"118","2008-06-23-K-008","2008-06-23-K-008","Amsterdam","Port",5,10.6830826,2984.861336,"BL-Blowing","excellent","1'",450973.9241,6463617.228,"moderate",-2.463381843,-1.18366968588755,"4+"
"119","2008-06-23-K-009","2008-06-23-K-009","Amsterdam","Port",3,10.43014195,984.7733991,"DF-Dive-fluke-up","excellent","1'",452122.7579,6463338.891,"moderate",-2.228347224,-1.25964855653876,"2-3"
"120","2008-06-23-K-010","2008-06-23-K-010","Amsterdam","Port",1,10.53824703,897.9852921,"DF-Dive-fluke-up","excellent","1'",452466.4353,6462360.398,"moderate",-75.90898149,-1.22717571403575,"1"
"121","2008-06-23-K-011","2008-06-23-K-011","Amsterdam","Port",1,10.42817274,898.3012207,"DF-Dive-fluke-up","excellent","1'",452130.5925,6462452.498,"moderate",-77.0983292,-1.26024007218432,"1"
"122","2008-06-23-K-012","2008-06-23-K-012","Amsterdam","Port",1,10.54342265,903.841137,"BL-Blowing","excellent","1'",452365.7414,6462363.945,"moderate",-97.96703501,-1.22562104987829,"1"
"123","2008-06-23-K-014","2008-06-23-K-014","Amsterdam","Port",2,9.730309486,1485.893322,"DF-Dive-fluke-up","excellent","1'",444204.8612,6468024.795,"moderate",31.37373233,-1.46986577650626,"2-3"
"124","2008-06-23-K-017","2008-06-23-K-017","Amsterdam","Port",1,7.178691472,1189.761995,"BL-Blowing","excellent","1'",443306.7125,6474695.855,"moderate",-41.352087,-2.23632642661134,"1"
"125","2008-06-23-K-061","2008-06-23-K-061","Amsterdam","Port",1,10.50060786,489.5972862,"DF-Dive-fluke-up","excellent","1'",442013.8734,6471476.6,"light",-0.680263722,-1.23848185098467,"1"
"126","2008-06-23-K-062","2008-06-23-K-062","Amsterdam","Port",1,10.43925006,1785.881123,"DF-Dive-fluke-up","excellent","1'",440358.2723,6470458.139,"light",31.12273966,-1.25691264235665,"1"
"127","2008-06-23-K-063","2008-06-23-K-063","Amsterdam","Port",1,11.66706017,985.4170115,"BL-Blowing","excellent","1'",441283.6039,6469816.812,"light",-11.93888192,-0.888100331911735,"1"
"128","2008-06-23-K-066","2008-06-23-K-066","Amsterdam","Port",1,10.78080651,2484.848356,"BL-Blowing","excellent","3'",408176.7084,6450616.549,"light",-2.348676155,-1.15431516213891,"1"
"129","2008-06-23-N-037","2008-06-23-N-037","Sapphire Princess","Starboard",1,18.39301965,3625.434928,"BL-Blowing","excellent","1'",438385.1082,6488835.188,"light",-6.712807278,1.13225821993115,"1"
"130","2008-06-23-N-038","2008-06-23-N-038","Sapphire Princess","Starboard",1,17.11776025,1806.143335,"BL-Blowing","excellent","1'",439287.7284,6489382.24,"light",-49.39776738,0.749192987042174,"1"
"131","2008-06-23-N-040","2008-06-23-N-040","Sapphire Princess","Starboard",1,13.33685802,981.1674733,"BL-Blowing","excellent","1'",438907.2656,6489097.736,"light",-103.0402889,-0.386522768721247,"1"
"132","2008-06-25-N-002","2008-06-25-N-002","Statendam","Starboard",1,13.52384647,1360.373905,"BL-Blowing","excellent","calm",440399.9775,6478429.689,"light",-38.95599344,-0.330354765453206,"1"
"133","2008-06-25-N-007","2008-06-25-N-007","Statendam","Starboard",1,12.65391118,2273.421662,"BL-Blowing","excellent","calm",437824.965,6482043.506,"light",-26.52078296,-0.591667847687449,"1"
"134","2008-06-25-N-055","2008-06-25-N-055","Statendam","Starboard",1,15.98427408,463.2876189,"BL-Blowing","excellent","1'",437661.1742,6491970.87,"moderate",114.3414354,0.408713909854046,"1"
"135","2008-06-27-N-002","2008-06-27-N-002","Zaandam","Starboard",5,17.278654,3186.273385,"BL-Blowing","excellent","1'",436787.7096,6483130.45,"moderate",-30.74833046,0.797522606736905,"4+"
