unique_event_ID,same_whale_ID,new_dist_shore_whale_m,nearest_X_land_UTM,nearest_Y_land_UTM
2007-09-02-N-002,2007-09-02-N-002,1606.745058,436135.1857,6483315.53
2008-07-07-K-042,2008-07-07-K-042,909.750799,433913.2299,6488693.557
2008-07-25-N-022,2008-07-25-N-022,1289.690153,436144.3004,6483274.177
2009-06-24-K-092,2009-06-24-K-092,594.984006,417989.9413,6459904.035
2009-07-01-K-111,2009-07-01-K-111,185.21355,418942.3282,6462715.733
2009-08-12-K-079,2009-08-12-K-079,926.429055,423098.4328,6459684.866
2009-07-12-K-100,2009-07-12-K-100,68.281362,418729.1913,6459673.307
2010-07-19-K-106,2010-07-19-K-106,824.150969,417874.1935,6459892.831
2008-06-15-K-007,2008-06-15-K-007,3405.837411,460252.5348,6465790.585
2009-08-19-K-085,2009-08-19-K-085,2771.514453,426231.5417,6464821.553
2009-07-12-K-099,2009-07-12-K-099,1695.729932,421317.7546,6459791.178
2009-06-10-K-100,2009-06-10-K-100,1049.113534,421483.0786,6459729.696
2009-06-21-K-082,2009-06-21-K-082,3146.174192,426231.5417,6464821.553
2008-07-28-K-062,2008-07-28-K-062,1592.228683,417578.8794,6459601.97
2012-06-21-N-002,2012-06-21-N-002,2782.799081,437921.9927,6477287.255
2010-06-21-N-002,2010-06-21-N-002,2715.910897,437862.4884,6477526.071
2007-08-27-K-002,2007-08-27-K-002,1983.84176,437360.0192,6480553.821
2009-06-10-K-008,2009-06-10-K-008,1833.330585,454159.8832,6460823.874
2009-06-21-K-012,2009-06-21-K-012,3858.608727,455704.0746,6458640.013
2008-08-25-K-069,2008-08-25-K-069,1796.912474,419754.4329,6463226.027
2009-05-27-K-069,2009-05-27-K-069,1890.785704,440168.0387,6485494.895
2008-07-21-K-071,2008-07-21-K-071,1200.236443,439420.1664,6470822.601
2009-05-18-K-071,2009-05-18-K-071,3168.33884,439512.6869,6471117.288
2008-06-15-K-065,2008-06-15-K-065,2234.265498,446169.5647,6471528.634
2009-06-01-K-080,2009-06-01-K-080,1557.285378,439496.0552,6471230.852
2009-08-03-N-004,2009-08-03-N-004,2146.611286,441630.0644,6482681.707
2008-06-07-N-006,2008-06-07-N-006,619.540657,440104.1335,6485561.283
2010-07-02-N-009,2010-07-02-N-009,1657.820815,436394.1422,6482603.206
2009-08-21-N-003,2009-08-21-N-003,1878.391422,441642.0182,6482805.869
2012-09-10-N-002,2012-09-10-N-002,1433.146661,440080.0544,6485673.365
2011-05-17-N-002,2011-05-17-N-002,2074.920319,436369.3037,6482663.078
2007-07-27-N-002,2007-07-27-N-002,1981.409203,437302.6791,6481424.272
2009-09-09-N-002,2009-09-09-N-002,1175.423167,441651.2863,6482852.577
2009-07-26-K-074,2009-07-26-K-074,593.322103,437446.2059,6481212.992
2011-08-19-N-003,2011-08-19-N-003,1253.920776,437391.4642,6481305.862
2009-08-12-N-006,2009-08-12-N-006,1677.432854,440168.0387,6485494.895
2008-09-23-N-002,2008-09-23-N-002,1670.339174,437401.8059,6481292.244
2009-09-28-K-088,2009-09-28-K-088,2102.914742,437425.963,6481260.435
2009-09-07-K-025,2009-09-07-K-025,1214.895745,437447.4923,6481181.962
2012-07-31-N-003,2012-07-31-N-003,1308.183305,437302.6791,6481424.272
2008-06-27-N-002,2008-06-27-N-002,561.32063,436260.7302,6482937.128
2012-08-20-N-002,2012-08-20-N-002,1138.545082,440168.0387,6485494.895
2007-08-29-N-003,2007-08-29-N-003,2294.775531,440168.0387,6485494.895
2009-09-23-N-002,2009-09-23-N-002,1813.594247,437446.2059,6481212.992
2012-08-19-N-002,2012-08-19-N-002,1999.613633,441633.9743,6482765.33
2009-09-07-K-026,2009-09-07-K-026,1356.523127,437379.8074,6480677.969
2010-08-30-K-033,2010-08-30-K-033,1972.697266,436135.1857,6483315.53
2009-07-20-N-002,2009-07-20-N-002,531.507033,441937.1246,6481175.159
2011-06-17-N-002,2011-06-17-N-002,1255.78107,436145.4208,6485638.099
2009-08-14-N-078,2009-08-14-N-078,42.768165,440492.3563,6486889.718
2007-08-13-K-009,2007-08-13-K-009,3099.476456,436299.9848,6494809.171
2012-09-14-N-028,2012-09-14-N-028,2209.098392,436325.6849,6491696.79
2006-08-08-K-251,2006-08-08-K-251,3113.399036,436734.0168,6492899.955
2012-08-26-N-030,2012-08-26-N-030,2495.646535,436716.7064,6492982.218
2012-08-08-N-023,2012-08-08-N-023,1362.532627,440104.1335,6485561.283
2008-07-18-N-018,2008-07-18-N-018,1366.751939,436060.3127,6485381.218
2006-08-18-K-598,2006-08-18-K-598,2057.22277,440285.3617,6486602.184
2009-06-29-N-052,2009-06-29-N-052,157.912993,435621.3997,6484438.218
2007-08-22-N-004,2007-08-22-N-004,1771.549681,436145.4208,6485638.099
2007-08-08-K-005,2007-08-08-K-005,1671.59539,440073.5675,6485831.054
2012-06-28-N-002,2012-06-28-N-002,1729.816979,436151.1577,6485717.44
2010-07-16-N-005,2010-07-16-N-005,2405.793506,436325.6849,6491696.79
2011-07-25-N-002,2011-07-25-N-002,1438.698541,440073.5675,6485831.054
2007-08-18-N-040,2007-08-18-N-040,1683.634813,440104.1335,6485561.283
2012-08-24-N-002,2012-08-24-N-002,1541.823585,440099.1011,6485584.708
2009-09-28-K-021,2009-09-28-K-021,1845.126205,436151.1577,6485717.44
2011-07-10-N-011,2011-07-10-N-011,1685.330213,436151.1577,6485717.44
2010-05-16-N-053,2010-05-16-N-053,1546.346366,441815.0164,6481948.778
2007-09-02-N-003,2007-09-02-N-003,723.439963,435976.2991,6486204.433
2007-08-11-K-008,2007-08-11-K-008,1856.378253,440073.5675,6485831.054
2008-09-15-K-051,2008-09-15-K-051,1688.167184,437360.0192,6480553.821
2011-08-05-N-025,2011-08-05-N-025,699.52786,437446.2059,6481212.992
2010-05-21-N-003,2010-05-21-N-003,1867.574462,440137.328,6486338.956
2007-08-06-N-006,2007-08-06-N-006,1752.435231,440080.0544,6485673.365
2008-06-07-N-038,2008-06-07-N-038,1979.636849,436060.3127,6485381.218
2012-08-16-N-002,2012-08-16-N-002,493.775854,440104.1335,6485561.283
2010-06-11-N-005,2010-06-11-N-005,1172.730568,436151.1577,6485717.44
2012-06-12-N-037,2012-06-12-N-037,2127.646645,436060.3127,6485381.218
2007-08-10-N-005,2007-08-10-N-005,1737.897003,436151.1577,6485717.44
2009-06-28-K-035,2009-06-28-K-035,1147.135013,440137.328,6486338.956
