"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"3415","2012-05-21-N-004","2012-05-21-N-004","Amsterdam",2,"2-3",14.85300627,4983.676389,"DF-Dive-fluke-up","good","2'",437409.9478,6496460.466,0.0689011885383,10101,4980,"2_good_4980",0.0691384306772913,28.9274717462875,132.418449655484,24
"3416","2012-05-21-N-006","2012-05-21-N-006","Amsterdam",2,"2-3",14.90691585,3983.659252,"BL-Blowing","good","2'",437186.9256,6497797.736,0.0850946671495,10148,3980,"2_good_3980",0.11165992419516,17.9115292654541,155.268755140514,9
"3417","2012-05-22-N-004","2012-05-22-N-004","Westerdam",3,"2-3",12.24550747,1688.599325,"BL-Blowing","good","calm",436952.4307,6489250.521,-0.714345055386,9873,1690,"3_good_1690",0.553962265984761,5.41553131722247,422.62221795978,36
"3418","2012-05-27-N-012","2012-05-27-N-012","Volendam",2,"2-3",11.71918892,3991.138248,"DF-Dive-fluke-up","good","calm",435712.2602,6497120.197,-0.872441782946,10126,3990,"2_good_3990",0.111069853039273,18.0066862904088,134.956319243445,10
"3419","2012-05-31-N-003","2012-05-31-N-003","Diamond Princess",2,"2-3",13.82898903,4967.923244,"DF-Dive-fluke-up","good","calm",436580.2999,6496951.683,-0.238695369874,10100,4970,"2_good_4970",0.0694394956590542,28.8020525065438,126.211218340171,16
"3420","2012-06-08-N-017","2012-06-08-N-017","Statendam",2,"2-3",17.33356847,784.0749393,"BL-Blowing","good","1'",420528.7247,6516905.286,0.814017936424,10860,780,"2_good_780",0.989610965397781,2.02099619944701,57.8025064377524,6
"3421","2012-06-08-N-038","2012-06-08-N-038","Statendam",2,"2-3",15.11547876,465.9978553,"BL-Blowing","good","1'",431473.3922,6504208.874,0.147743254324,10377,470,"2_good_470",0.999999327923238,2.00000134415443,11.1292611235513,6
"3422","2012-07-23-N-037","2012-07-23-N-037","Sapphire Princess",3,"2-3",14.62860747,1477.589621,"BL-Blowing","good","calm",436613.0052,6488825.011,0.00149578177794,9872,1480,"3_good_1480",0.662757206052727,4.52654452128481,81.4729473703667,11
"3423","2012-08-02-N-013","2012-08-02-N-013","Norwegian Pearl",2,"2-3",17.38909167,2987.047819,"DF-Dive-fluke-up","good","calm",440113.3058,6493272.002,0.830696117772,9991,2990,"2_good_2990",0.201298529885441,9.93549233140549,106.638328355513,11
"3424","2012-08-03-N-022","2012-08-03-N-022","Statendam",2,"2-3",16.85442739,1794.474053,"DF-Dive-fluke-up","good","calm",439612.8447,6495559.839,0.670092481417,10051,1790,"2_good_1790",0.508235677484543,3.93518221683842,206.842297147431,11
